rank,title,gross,studio,week,release_year
1,The Hobbit: The Battle of the Five Armies,28212560.0,Warner Bros.,1,2015
2,Unbroken,23752615.0,Universal Pictures,1,2015
3,Into the Woods,23378715.0,Walt Disney Studios Motion Pictures,1,2015
4,The Woman in Black 2: Angel of Death,17509105.0,Relativity Media,1,2015
5,Night at the Museum: Secret of the Tomb,17494583.0,Twentieth Century Fox,1,2015
6,Annie,13309073.0,Sony Pictures Releasing,1,2015
7,The Imitation Game,10516876.0,The Weinstein Company,1,2015
8,The Hunger Games: Mockingjay - Part 1,9600005.0,Lionsgate,1,2015
9,The Gambler,8688162.0,Paramount Pictures,1,2015
10,Wild,6322131.0,Fox Searchlight Pictures,1,2015
11,Big Hero 6,5756738.0,Walt Disney Studios Motion Pictures,1,2015
12,Exodus: Gods and Kings,5026813.0,Twentieth Century Fox,1,2015
13,Big Eyes,3647683.0,The Weinstein Company,1,2015
14,Penguins of Madagascar,3456613.0,Twentieth Century Fox,1,2015
15,Interstellar,3306826.0,Paramount Pictures,1,2015
16,Top Five,2740129.0,Paramount Pictures,1,2015
17,The Theory of Everything,1555009.0,Focus Features,1,2015
18,The Interview,1477176.0,Sony Pictures Releasing,1,2015
19,Horrible Bosses 2,1295914.0,Warner Bros.,1,2015
20,Birdman or (The Unexpected Virtue of Ignorance),1183740.0,Fox Searchlight Pictures,1,2015
21,Foxcatcher,1169353.0,Sony Pictures Classics,1,2015
22,American Sniper,1042772.0,Warner Bros.,1,2015
23,PK,925466.0,UTV Motion Pictures,1,2015
24,Selma,851669.0,Paramount Pictures,1,2015
25,Gone Girl,542036.0,Twentieth Century Fox,1,2015
26,Dumb and Dumber To,402010.0,Universal Pictures,1,2015
27,Inherent Vice,367380.0,Warner Bros.,1,2015
28,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",363069.0,Walt Disney Studios Motion Pictures,1,2015
29,St. Vincent,317455.0,The Weinstein Company,1,2015
30,Mr. Turner,316373.0,Sony Pictures Classics,1,2015
31,Whiplash,310342.0,Sony Pictures Classics,1,2015
32,Fury,281018.0,Sony Pictures Releasing,1,2015
33,A Most Violent Year,223654.0,A24,1,2015
34,The Book of Life,221527.0,Twentieth Century Fox,1,2015
35,Nightcrawler,166428.0,Open Road Films (II),1,2015
36,The Equalizer,162473.0,Sony Pictures Releasing,1,2015
37,The Maze Runner,128832.0,Twentieth Century Fox,1,2015
38,Guardians of the Galaxy,114446.0,Walt Disney Studios Motion Pictures,1,2015
39,John Wick,112449.0,Lionsgate,1,2015
40,The Babadook,102153.0,IFC Films,1,2015
41,The Boxtrolls,101633.0,Focus Features,1,2015
42,Citizenfour,99983.0,RADiUS-TWC,1,2015
43,Ode to My Father,81444.0,CJ Entertainment,1,2015
44,The Homesman,81364.0,Saban Films,1,2015
45,The Taking of Tiger Mountain,71139.0,Well Go USA Entertainment,1,2015
46,The Judge,61403.0,Warner Bros.,1,2015
47,Boyhood,59371.0,IFC Films,1,2015
48,Force Majeure,57361.0,Magnolia Pictures,1,2015
49,"Two Days, One Night",49619.0,IFC Films,1,2015
50,Leviathan,45436.0,Sony Pictures Classics,1,2015
51,Island of Lemurs: Madagascar,44609.0,Warner Bros.,1,2015
52,A Girl Walks Home Alone at Night,41170.0,Kino Lorber,1,2015
53,Love on the Cloud,39345.0,China Lion Film Distribution,1,2015
54,Awake: The Life of Yogananda,38580.0,CounterPoint Films,1,2015
55,The Best of Me,34863.0,Relativity Media,1,2015
56,Beyond the Lights,25083.0,Relativity Media,1,2015
57,Antarctica: A Year on Ice,22758.0,Music Box Films,1,2015
58,Long Live Freedom2014 Re-release,15013.0,Distrib Films,1,2015
59,The Good Lie,14878.0,Warner Bros.,1,2015
60,The Tale of The Princess Kaguya,13590.0,GKIDS,1,2015
61,The Search for General Tso,13221.0,IFC Films,1,2015
62,The Pyramid,11919.0,Twentieth Century Fox,1,2015
63,Song of the Sea,11717.0,GKIDS,1,2015
64,Fleet of Time,11623.0,China Lion Film Distribution,1,2015
65,Mommy,11510.0,Roadside Attractions,1,2015
66,She's Beautiful When She's Angry,9497.0,International Film Circuit,1,2015
67,National Gallery,9068.0,Zipporah Films,1,2015
68,My Old Lady,8865.0,Cohen Media Group,1,2015
69,Meet the Mormons,8794.0,Purdie Distribution,1,2015
70,I Am Eleven2014 Re-release,7471.0,Proud Mother Pictures,1,2015
71,Zero Motivation,7059.0,Zeitgeist Films,1,2015
72,Dear White People,6948.0,Roadside Attractions,1,2015
73,Goodbye to All That,6488.0,IFC Films,1,2015
74,Six Dance Lessons in Six Weeks,5838.0,Dada Films,1,2015
75,Goodbye to Language,5834.0,Kino Lorber,1,2015
76,Advanced Style,5500.0,Bond/360,1,2015
77,The Sacrifice2014 Re-release,4442.0,Kino Lorber,1,2015
78,Women Who Flirt,4392.0,China Lion Film Distribution,1,2015
79,The Grand Budapest Hotel,4100.0,Fox Searchlight Pictures,1,2015
80,The Way He Looks,3661.0,Strand Releasing,1,2015
81,Diplomacy,3614.0,Zeitgeist Films,1,2015
82,Sagrada: The Mystery of Creation2014 Re-release,3338.0,First Run,1,2015
83,Li'l Quinquin,3204.0,Kino Lorber,1,2015
84,A Tale of Winter,2901.0,Big World Pictures,1,2015
85,Monk with a Camera,2901.0,Kino Lorber,1,2015
86,The Overnighters,2144.0,Drafthouse Films,1,2015
87,T-Rex: Back to the Cretaceous,2135.0,IMAX,1,2015
88,The Immortalists,2069.0,GathrFilms,1,2015
89,Walking the Camino: Six Ways to Santiago,1487.0,Future Educational Films,1,2015
90,Last Days in Vietnam,1484.0,American Experience Films,1,2015
91,The Captive,1457.0,A24,1,2015
92,Hiroshima Mon Amour2014 Re-release,1406.0,Rialto Pictures,1,2015
93,Why Don't You Play in Hell?,999.0,Drafthouse Films,1,2015
94,[REC] 4: Apocalypse,837.0,Magnolia Pictures,1,2015
95,Expelled from Paradise,750.0,Eleven Arts,1,2015
96,Trace Amounts,696.0,GathrFilms,1,2015
97,Listen Up Philip,625.0,Tribeca Films,1,2015
98,"20,000 Days on Earth",573.0,Drafthouse Films,1,2015
99,Life Partners,414.0,Magnolia Pictures,1,2015
100,Concerning Violence,223.0,Kino Lorber,1,2015
101,Pioneer,152.0,Magnolia Pictures,1,2015
1,Taken 3,48786917.0,Twentieth Century Fox,2,2015
2,Selma,15377081.0,Paramount Pictures,2,2015
3,The Hobbit: The Battle of the Five Armies,12594628.0,Warner Bros.,2,2015
4,Into the Woods,12231740.0,Walt Disney Studios Motion Pictures,2,2015
5,Unbroken,11108360.0,Universal Pictures,2,2015
6,The Imitation Game,10389869.0,The Weinstein Company,2,2015
7,Night at the Museum: Secret of the Tomb,8124618.0,Twentieth Century Fox,2,2015
8,The Woman in Black 2: Angel of Death,5678468.0,Relativity Media,2,2015
9,Annie,5661962.0,Sony Pictures Releasing,2,2015
10,The Hunger Games: Mockingjay - Part 1,4869086.0,Lionsgate,2,2015
11,Wild,3916511.0,Fox Searchlight Pictures,2,2015
12,Inherent Vice,3736979.0,Warner Bros.,2,2015
13,The Gambler,3233086.0,Paramount Pictures,2,2015
14,Big Hero 6,2809572.0,Walt Disney Studios Motion Pictures,2,2015
15,Big Eyes,1968128.0,The Weinstein Company,2,2015
16,Interstellar,1579677.0,Paramount Pictures,2,2015
17,Exodus: Gods and Kings,1492925.0,Twentieth Century Fox,2,2015
18,Penguins of Madagascar,1392622.0,Twentieth Century Fox,2,2015
19,The Theory of Everything,1096918.0,Focus Features,2,2015
20,Birdman or (The Unexpected Virtue of Ignorance),978267.0,Fox Searchlight Pictures,2,2015
21,American Sniper,829627.0,Warner Bros.,2,2015
22,Top Five,727660.0,Paramount Pictures,2,2015
23,Foxcatcher,715880.0,Sony Pictures Classics,2,2015
24,I,617266.0,Aascar Film,2,2015
25,The Interview,565647.0,Sony Pictures Releasing,2,2015
26,Ode to My Father,557173.0,CJ Entertainment,2,2015
27,Horrible Bosses 2,479455.0,Warner Bros.,2,2015
28,Gone Girl,366318.0,Twentieth Century Fox,2,2015
29,Mr. Turner,343876.0,Sony Pictures Classics,2,2015
30,PK,321305.0,UTV Motion Pictures,2,2015
31,Dumb and Dumber To,229475.0,Universal Pictures,2,2015
32,Whiplash,227254.0,Sony Pictures Classics,2,2015
33,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",224147.0,Walt Disney Studios Motion Pictures,2,2015
34,Tevar,214635.0,Eros Worldwide,2,2015
35,St. Vincent,174655.0,The Weinstein Company,2,2015
36,Fury,158806.0,Sony Pictures Releasing,2,2015
37,A Most Violent Year,153262.0,A24,2,2015
38,The Book of Life,152145.0,Twentieth Century Fox,2,2015
39,The Taking of Tiger Mountain,109031.0,Well Go USA Entertainment,2,2015
40,Nightcrawler,100536.0,Open Road Films (II),2,2015
41,Awake: The Life of Yogananda,98712.0,CounterPoint Films,2,2015
42,The Maze Runner,76854.0,Twentieth Century Fox,2,2015
43,Citizenfour,69807.0,RADiUS-TWC,2,2015
44,Force Majeure,69013.0,Magnolia Pictures,2,2015
45,Guardians of the Galaxy,65183.0,Walt Disney Studios Motion Pictures,2,2015
46,The Babadook,64091.0,IFC Films,2,2015
47,The Boxtrolls,62241.0,Focus Features,2,2015
48,Predestination,61213.0,Vertical Entertainment,2,2015
49,The Homesman,58572.0,Saban Films,2,2015
50,"Two Days, One Night",54578.0,IFC Films,2,2015
51,John Wick,53576.0,Lionsgate,2,2015
